,duur,beweging,time,WR,Wk,uur,N,NO,O,ZO,Z,ZW,W,NW
62,89,False,2015-12-08 19:26:56.583,209.0,4.6875,19,0,0,0,0,0,1,0,0
63,84,True,2015-12-08 19:30:04.583,216.0,2.170138835907,19,0,0,0,0,0,1,0,0
64,88,False,2015-12-08 20:46:46.192,144.0,1.4973957538605,20,0,0,0,1,0,0,0,0
65,84,True,2015-12-08 20:49:47.785,199.0,1.6493054628372,20,0,0,0,0,1,0,0,0
66,90,False,2015-12-09 07:59:19.196,226.0,1.6710069179535,7,0,0,0,0,0,1,0,0
67,84,True,2015-12-09 08:03:34.578,220.0,1.171875,8,0,0,0,0,0,1,0,0
68,89,False,2015-12-09 09:21:39.080,195.0,2.560763835907,9,0,0,0,0,1,0,0,0
69,85,True,2015-12-09 09:24:40.994,220.0,1.0199652910233,9,0,0,0,0,0,1,0,0
70,89,False,2015-12-09 11:05:15.777,257.0,2.1050345897675,11,0,0,0,0,0,0,1,0
71,85,True,2015-12-09 11:07:21.580,234.0,1.9314235448837,11,0,0,0,0,0,1,0,0
72,88,False,2015-12-09 12:37:49.278,254.0,3.0381944179535,12,0,0,0,0,0,0,1,0
73,84,True,2015-12-09 12:41:26.483,222.0,1.6927082538605,12,0,0,0,0,0,1,0,0
74,89,False,2015-12-09 13:07:39.278,212.0,1.0199652910233,13,0,0,0,0,0,1,0,0
75,85,True,2015-12-09 13:09:52.781,239.0,3.342013835907,13,0,0,0,0,0,1,0,0
76,89,False,2015-12-09 14:41:59.781,218.0,1.6710069179535,14,0,0,0,0,0,1,0,0
77,85,True,2015-12-09 14:44:03.085,274.0,1.0850694179535,14,0,0,0,0,0,0,1,0
78,89,False,2015-12-09 15:28:06.780,248.0,1.171875,15,0,0,0,0,0,0,1,0
79,85,True,2015-12-09 15:30:30.787,220.0,1.7578123807907,15,0,0,0,0,0,1,0,0
80,88,False,2015-12-09 17:08:22.587,144.0,0.54253470897675,17,0,0,0,1,0,0,0,0
81,84,True,2015-12-09 17:11:39.689,135.0,3.0598957538605,17,0,0,0,1,0,0,0,0
82,88,False,2015-12-09 18:27:15.879,144.0,2.3220484256744,18,0,0,0,1,0,0,0,0
83,83,True,2015-12-09 18:30:59.285,165.0,2.734375,18,0,0,0,0,1,0,0,0
84,87,False,2015-12-09 18:51:26.478,150.0,1.1501735448837,18,0,0,0,1,0,0,0,0
85,84,True,2015-12-09 18:53:41.975,146.0,2.3220484256744,18,0,0,0,1,0,0,0,0
86,89,False,2015-12-09 21:46:47.692,330.0,2.582465171814,21,0,0,0,0,0,0,0,1
87,83,True,2015-12-09 21:49:20.686,7.0,3.4071178436279,21,1,0,0,0,0,0,0,0
88,90,False,2015-12-10 12:30:09.475,206.0,1.3237847089767,12,0,0,0,0,0,1,0,0
89,85,True,2015-12-10 12:32:44.184,129.0,0.97656244039536,12,0,0,0,1,0,0,0,0
90,90,False,2015-12-10 12:46:54.680,211.0,2.9079859256744,12,0,0,0,0,0,1,0,0
91,86,True,2015-12-10 12:48:51.978,287.0,1.8880207538605,12,0,0,0,0,0,0,1,0
92,89,False,2015-12-10 14:33:12.881,5.0,1.3454860448837,14,1,0,0,0,0,0,0,0
93,85,True,2015-12-10 14:35:26.383,158.0,0.99826383590698,14,0,0,0,0,1,0,0,0
94,90,False,2015-12-10 20:20:04.879,126.0,2.3003470897675,20,0,0,0,1,0,0,0,0
95,83,True,2015-12-10 20:22:39.579,175.0,1.6276041269302,20,0,0,0,0,1,0,0,0
96,89,False,2015-12-10 21:36:46.084,242.0,0.88975691795349,21,0,0,0,0,0,1,0,0
97,82,True,2015-12-10 21:40:35.783,215.0,0.56423610448837,21,0,0,0,0,0,1,0,0
98,89,False,2015-12-10 22:16:24.578,295.0,0.49913191795349,22,0,0,0,0,0,0,0,1
99,83,True,2015-12-10 22:20:48.379,240.0,1.0416666269302,22,0,0,0,0,0,1,0,0
100,90,False,2015-12-11 09:17:00.085,237.0,2.0833332538605,9,0,0,0,0,0,1,0,0
101,84,True,2015-12-11 09:19:19.682,253.0,1.4756944179535,9,0,0,0,0,0,0,1,0
102,90,False,2015-12-11 09:52:30.586,181.0,3.7109372615814,9,0,0,0,0,1,0,0,0
103,84,True,2015-12-11 09:55:49.288,258.0,3.537326335907,9,0,0,0,0,0,0,1,0
104,90,False,2015-12-11 12:38:09.686,104.0,4.7743053436279,12,0,0,1,0,0,0,0,0
105,85,True,2015-12-11 12:40:57.079,225.0,3.754340171814,12,0,0,0,0,0,1,0,0
106,89,False,2015-12-14 10:10:21.385,129.0,0.88975691795349,10,0,0,0,1,0,0,0,0
107,91,True,2015-12-14 10:12:37.885,237.0,2.4088540077209,10,0,0,0,0,0,1,0,0
108,89,False,2015-12-14 10:24:57.895,129.0,1.2803819179535,10,0,0,0,1,0,0,0,0
109,85,True,2015-12-14 10:27:37.189,116.0,1.8880207538605,10,0,0,0,1,0,0,0,0
